County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
Thurston,Tumwater,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,22,242565116,PUGET SOUND ENERGY INC,53067010910,-122.9131017,47.0135926
Island,Clinton,WA,98236,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,10,183272785,PUGET SOUND ENERGY INC,53029972000,-122.359364,47.9796552
Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,44,112552366,PUGET SOUND ENERGY INC,53061052502,-122.091505,47.915555
King,Seattle,WA,98134,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,11,6336319,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300,-122.329815,47.57981
Snohomish,Edmonds,WA,98020,2013,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,21,186212960,PUGET SOUND ENERGY INC,53061050403,-122.37507,47.80807
Chelan,Manson,WA,98831,2018,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,97,0,12,215122904,PUD NO 1 OF CHELAN COUNTY,53007960400,-120.1531,47.885505
Snohomish,Marysville,WA,98271,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,308,0,38,110992472,PUGET SOUND ENERGY INC,53061053102,-122.1713847,48.10433
Snohomish,Edmonds,WA,98026,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,21,138909032,PUGET SOUND ENERGY INC,53061050300,-122.335685,47.80372
Thurston,Olympia,WA,98501,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,22,272310279,PUGET SOUND ENERGY INC,53067010700,-122.89692,47.043535
Thurston,Lacey,WA,98503,2018,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,151,0,22,235573929,PUGET SOUND ENERGY INC,53067011422,-122.8285,47.03646
Thurston,Olympia,WA,98501,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,22,100808571,PUGET SOUND ENERGY INC,53067010700,-122.89692,47.043535
Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,1,103095842,PUGET SOUND ENERGY INC,53061051937,-122.179458,47.802589
King,Seattle,WA,98146,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,34,3267771,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033012000,-122.355145,47.505655
Kitsap,Hansville,WA,98340,2017,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,97,0,23,2039698,PUGET SOUND ENERGY INC,53035090101,-122.57781,47.903975
Snohomish,Edmonds,WA,98020,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,21,326547609,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
Snohomish,Woodway,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,32,337501195,PUGET SOUND ENERGY INC,53061050600,-122.37507,47.80807
Yakima,Naches,WA,98937,2016,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,14,202801616,PACIFICORP,53077003002,-120.69918,46.7305
Chelan,Cashmere,WA,98815,2018,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,151,0,12,475574935,PUD NO 1 OF CHELAN COUNTY,53007960501,-120.4687,47.5173233
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,1,109167621,PUGET SOUND ENERGY INC,53061052009,-122.1873,47.820245
Thurston,Tumwater,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,35,111617271,PUGET SOUND ENERGY INC,53067011720,-122.89692,47.043535
Snohomish,Lake Stevens,WA,98258,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,18,0,44,170340453,PUGET SOUND ENERGY INC,53061052607,-122.112065,48.004345
Kitsap,Port Orchard,WA,98366,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,26,180396618,PUGET SOUND ENERGY INC,53035092600,-122.639265,47.5373
Snohomish,Monroe,WA,98272,2016,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,200,0,39,476016901,PUGET SOUND ENERGY INC,53061052207,-121.972215,47.85674
Kitsap,Port Orchard,WA,98366,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,26,245794965,PUGET SOUND ENERGY INC,53035092300,-122.639265,47.5373
Kitsap,Bremerton,WA,98310,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,23,8593350,PUGET SOUND ENERGY INC,53035080400,-122.611365,47.575195
Kitsap,Poulsbo,WA,98370,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,35,0,23,226994967,PUGET SOUND ENERGY INC,53035090502,-122.64177,47.737525
Kitsap,Kingston,WA,98346,2023,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,23,220323715,PUGET SOUND ENERGY INC,53035090102,-122.50156,47.8019
Snohomish,Bothell,WA,98012,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,21,349945921,PUGET SOUND ENERGY INC,53061051928,-122.1873,47.820245
Kitsap,Port Orchard,WA,98367,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,35,102908466,PUGET SOUND ENERGY INC,53035092101,-122.6851642,47.506453
Snohomish,Lynnwood,WA,98087,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,21,1909491,PUGET SOUND ENERGY INC,53061041703,-122.2559465,47.8656788
Snohomish,Edmonds,WA,98020,2016,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,21,132793202,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
Snohomish,Marysville,WA,98270,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,38,4759450,PUGET SOUND ENERGY INC,53061052903,-122.17673,48.05542
Snohomish,Snohomish,WA,98296,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,1,205301197,PUGET SOUND ENERGY INC,53061052107,-122.15134,47.8851158
Whitman,Pullman,WA,99163,2021,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,29,0,9,167261251,AVISTA CORP,53075000601,-117.17912,46.730885
Island,Greenbank,WA,98253,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,10,261784841,PUGET SOUND ENERGY INC,53029971301,-122.6071588,48.0754917
Snohomish,Bothell,WA,98021,2022,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,1,195352475,PUGET SOUND ENERGY INC,53061051938,-122.179458,47.802589
Thurston,Olympia,WA,98513,2020,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,330,0,2,114268717,PUGET SOUND ENERGY INC,53067011624,-122.817545,46.98876
Thurston,Olympia,WA,98516,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,2,194643396,PUGET SOUND ENERGY INC,53067012330,-122.7510253,47.08149
Island,Coupeville,WA,98239,2015,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,10,349879071,PUGET SOUND ENERGY INC,53029971100,-122.681275,48.21784
Snohomish,Lake Stevens,WA,98258,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,44,478289241,PUGET SOUND ENERGY INC,53061052505,-122.112065,48.004345
Snohomish,Lake Stevens,WA,98258,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,44,476748793,PUGET SOUND ENERGY INC,53061052604,-122.112065,48.004345
Kitsap,Bremerton,WA,98311,2014,BMW,I3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,81,0,23,176066026,PUGET SOUND ENERGY INC,53035091500,-122.6468815,47.6344364
Thurston,Olympia,WA,98502,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,22,212905045,PUGET SOUND ENERGY INC,53067010520,-122.92145,47.045935
Kitsap,Port Orchard,WA,98367,2019,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,126,0,26,2588225,PUGET SOUND ENERGY INC,53035092101,-122.6851642,47.506453
Yakima,Yakima,WA,98908,2016,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,14,117777474,PACIFICORP,53077002900,-120.6027202,46.5965625
King,Renton,WA,98056,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,11,243725709,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025401,-122.180505,47.500055
Thurston,Lacey,WA,98516,2016,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,22,103812901,PUGET SOUND ENERGY INC,53067012221,-122.7510253,47.08149
Thurston,Rochester,WA,98579,2020,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,20,138237109,PUGET SOUND ENERGY INC,53067012730,-123.09575,46.82114
Snohomish,Bothell,WA,98021,2017,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,1,137151381,PUGET SOUND ENERGY INC,53061051926,-122.179458,47.802589
Skagit,Anacortes,WA,98221,2021,BMW,X3,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,0,40,144921822,PUGET SOUND ENERGY INC,53057940600,-122.615305,48.501275
Kitsap,Bainbridge Island,WA,98110,2017,VOLVO,XC90,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,23,237960649,PUGET SOUND ENERGY INC,53035090902,-122.5235781,47.6293323
King,Redmond,WA,98052,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,48,6069451,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032330,-122.12302,47.67668
Pend Oreille,Elk,WA,99009,2018,TESLA,MODEL X,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,7,475018764,PUD NO 1 OF PEND OREILLE COUNTY,53051970500,-117.34965,48.017545
Snohomish,Everett,WA,98204,2018,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,249,0,21,228476314,PUGET SOUND ENERGY INC,53061041901,-122.241285,47.91088
Snohomish,Monroe,WA,98272,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,308,0,39,228248450,PUGET SOUND ENERGY INC,53061052203,-121.972215,47.85674
Pierce,Dupont,WA,98327,2014,FORD,FOCUS,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,76,0,28,264487065,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053072802,-122.643815,47.097455
King,Seatac,WA,98188,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,33,181532130,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028300,-122.29179,47.43473
Kitsap,Port Orchard,WA,98366,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,26,339646149,PUGET SOUND ENERGY INC,53035092400,-122.639265,47.5373
Kitsap,Poulsbo,WA,98370,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,23,166580291,PUGET SOUND ENERGY INC,53035091100,-122.64177,47.737525
King,Vashon,WA,98070,2016,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,34,3755496,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027701,-122.4586752,47.4484687
Kitsap,Kingston,WA,98346,2017,BMW,I3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,81,0,23,215241162,PUGET SOUND ENERGY INC,53035940000,-122.50156,47.8019
Kitsap,Bremerton,WA,98311,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,23,180762949,PUGET SOUND ENERGY INC,53035091500,-122.6468815,47.6344364
King,Seattle,WA,98103,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,46,266970126,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001800,-122.34301,47.659185
Snohomish,Everett,WA,98208,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,44,282631247,PUGET SOUND ENERGY INC,53061041605,-122.2247757,47.9156409
Chelan,Leavenworth,WA,98826,2015,BMW,I8,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,14,0,12,228339114,PUD NO 1 OF CHELAN COUNTY,53007960203,-120.6619153,47.5970083
Thurston,Yelm,WA,98597,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,2,477498283,PUGET SOUND ENERGY INC,53067012422,-122.61023,46.94126
Snohomish,Snohomish,WA,98290,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,44,214372014,PUGET SOUND ENERGY INC,53061052401,-122.091505,47.915555
Snohomish,Everett,WA,98203,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,38,476459056,PUGET SOUND ENERGY INC,53061041400,-122.213105,47.95479
Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,1,255464758,PUGET SOUND ENERGY INC,53061051922,-122.179458,47.802589
Thurston,Olympia,WA,98516,2013,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,75,0,22,114803405,PUGET SOUND ENERGY INC,53067012221,-122.7510253,47.08149
Snohomish,Everett,WA,98204,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,38,110539509,PUGET SOUND ENERGY INC,53061041907,-122.241285,47.91088
Snohomish,Bothell,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,1,295873308,PUGET SOUND ENERGY INC,53061052107,-122.1873,47.820245
Yakima,Yakima,WA,98908,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,15,148895785,PACIFICORP,53077003400,-120.6027202,46.5965625
Snohomish,Lake Stevens,WA,98258,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,44,228975029,PUGET SOUND ENERGY INC,53061052607,-122.112065,48.004345
Snohomish,Everett,WA,98204,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,21,209825899,PUGET SOUND ENERGY INC,53061041809,-122.241285,47.91088
Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,150,0,1,477436795,PUGET SOUND ENERGY INC,53061052113,-122.15134,47.8851158
Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,21,116830899,PUGET SOUND ENERGY INC,53061041703,-122.2559465,47.8656788
Kitsap,Port Orchard,WA,98367,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,26,162322723,PUGET SOUND ENERGY INC,53035092101,-122.6851642,47.506453
Kitsap,Kingston,WA,98346,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,23,477670994,PUGET SOUND ENERGY INC,53035940000,-122.50156,47.8019
Thurston,Tumwater,WA,98501,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,22,347508836,PUGET SOUND ENERGY INC,53067010802,-122.89692,47.043535
Yakima,Selah,WA,98942,2018,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,249,0,15,171305151,PACIFICORP,53077003400,-120.54188,46.654175
Kitsap,Bremerton,WA,98311,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,23,228772085,PUGET SOUND ENERGY INC,53035091600,-122.6468815,47.6344364
Yakima,Yakima,WA,98908,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,14,350165294,PACIFICORP,53077002801,-120.6027202,46.5965625
Snohomish,Monroe,WA,98272,2011,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,39,205140106,PUGET SOUND ENERGY INC,53061053801,-121.972215,47.85674
Snohomish,Edmonds,WA,98026,2015,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,32,343971526,PUGET SOUND ENERGY INC,53061050800,-122.335685,47.80372
Douglas,East Wenatchee,WA,98802,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,12,298218728,PUD NO 1 OF DOUGLAS COUNTY,53017950600,-120.28674,47.4176
Snohomish,Bothell,WA,98012,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,44,203419310,PUGET SOUND ENERGY INC,53061052010,-122.1873,47.820245
